regiao;estado;data;casosAcumulados;obitosAcumulados
Norte;RO;2020-05-01;585;18
Norte;AC;2020-05-01;486;19
Norte;AM;2020-05-01;5723;476
Norte;RR;2020-05-01;602;8
Norte;PA;2020-05-01;3176;235
Norte;AP;2020-05-01;1121;37
Norte;TO;2020-05-01;164;3
Nordeste;MA;2020-05-01;3506;204
Nordeste;PI;2020-05-01;600;24
Nordeste;CE;2020-05-01;7879;505
Nordeste;RN;2020-05-01;1297;56
Nordeste;PB;2020-05-01;926;67
Nordeste;PE;2020-05-01;7334;603
Nordeste;AL;2020-05-01;1226;53
Nordeste;SE;2020-05-01;517;14
Nordeste;BA;2020-05-01;3085;117
Sudeste;MG;2020-05-01;1935;88
Sudeste;ES;2020-05-01;2662;96
Sudeste;RJ;2020-05-01;10166;921
Sudeste;SP;2020-05-01;30374;2511
Sul;PR;2020-05-01;1447;89
Sul;SC;2020-05-01;2394;48
Sul;RS;2020-05-01;1529;58
Centro-Oeste;MS;2020-05-01;261;9
Centro-Oeste;MT;2020-05-01;320;11
Centro-Oeste;GO;2020-05-01;808;29
Centro-Oeste;DF;2020-05-01;1466;30
EUA;NY;2020-05-01;308345;18610
Norte;RO;2020-04-30;502;16
Norte;AC;2020-04-30;404;19
Norte;AM;2020-04-30;5254;425
Norte;RR;2020-04-30;519;7
Norte;PA;2020-04-30;2876;208
Norte;AP;2020-04-30;1080;34
Norte;TO;2020-04-30;137;3
Nordeste;MA;2020-04-30;3190;184
Nordeste;PI;2020-04-30;513;24
Nordeste;CE;2020-04-30;7606;482
Nordeste;RN;2020-04-30;1177;56
Nordeste;PB;2020-04-30;814;62
Nordeste;PE;2020-04-30;6876;565
Nordeste;AL;2020-04-30;1044;47
Nordeste;SE;2020-04-30;447;12
Nordeste;BA;2020-04-30;2851;104
Sudeste;MG;2020-04-30;1827;82
Sudeste;ES;2020-04-30;2465;83
Sudeste;RJ;2020-04-30;9453;854
Sudeste;SP;2020-04-30;28698;2375
Sul;PR;2020-04-30;1407;83
Sul;SC;2020-04-30;2085;46
Sul;RS;2020-04-30;1466;51
Centro-Oeste;MS;2020-04-30;255;9
